NOS	ACTR	CIMA	COCH	COCO	COFR	ESAS	FOMA	FRPO	GEST	HYBO	LOPU	MAMA	PADO	PEAS	PHBO	PLCU	PYJO	SATE	STPI	TEBO	TUNI	ZOBO	ZOOL
ID186	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ID187	2	0	0	0	3	0	0	5	4	0	0	0	0	0	0	1	1	0	0	0	0	5	0
ID188	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID189	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ID190	0	0	0	0	0	2	8	0	1	0	0	0	0	0	0	2	2	0	0	0	0	10	0
ID191	0	0	0	0	0	2	7	0	0	0	0	0	0	0	0	1	1	0	2	0	0	2	0
ID192	0	0	0	0	5	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
ID193	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID194	2	0	0	0	0	1	3	0	0	0	0	0	0	2	0	0	3	0	0	0	2	0	0
ID195	8	0	0	0	0	0	6	0	0	0	0	0	2	2	0	3	2	0	0	0	0	0	0
ID196	4	0	0	0	0	4	10	0	2	0	0	0	2	2	0	2	0	0	0	0	0	0	0
ID197	3	0	0	0	0	3	5	0	1	0	0	0	0	6	0	5	1	0	0	0	0	1	0
ID198	2	0	0	0	0	0	8	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ID199	1	0	0	0	0	0	8	0	3	0	0	0	0	0	0	0	4	0	0	0	1	4	0
ID200	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	1	6	0
ID201	4	0	0	0	0	0	9	0	0	0	0	0	0	1	0	5	2	0	0	0	0	2	0
ID202	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID203	6	0	0	0	0	0	4	0	0	0	0	0	0	0	0	15	0	0	0	0	0	4	0
ID204	0	0	0	0	0	0	5	0	0	0	0	0	0	2	0	1	0	0	0	0	0	7	0
ID205	0	0	0	0	0	0	8	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ID206	3	0	0	0	0	0	6	0	4	0	0	0	0	11	0	0	0	0	0	0	0	2	0
ID207	0	0	0	0	0	0	3	0	6	0	0	0	0	0	0	2	0	2	0	0	0	3	0
ID208	5	0	0	0	0	0	6	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0
ID209	0	0	0	0	0	0	6	0	5	0	0	0	1	7	0	0	0	0	0	0	0	0	0
ID210	2	0	0	0	0	0	7	0	3	0	0	0	0	0	0	1	1	0	0	0	0	6	0
ID211	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	5	0	0	0	0	0	9	0
ID212	5	0	0	0	0	0	14	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
ID213	4	0	0	0	0	0	7	0	2	0	0	0	0	2	0	0	1	0	0	0	2	3	0
ID214	1	0	0	0	0	0	2	0	3	0	0	0	0	4	0	4	0	5	0	0	0	2	0
ID215	2	0	0	0	0	0	2	0	1	0	0	0	0	8	0	6	0	0	1	0	0	4	0
ID216	0	0	0	0	0	0	3	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0
ID217	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0
ID218	0	0	0	0	0	0	7	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ID219	5	0	0	0	0	0	6	0	3	0	0	0	0	0	0	10	0	0	0	0	0	0	0
ID220	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID221	3	0	0	0	0	0	3	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0
ID222	1	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID223	5	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID224	3	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID225	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID226	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ID227	0	0	0	0	0	0	7	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ID228	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID229	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID230	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID231	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID232	2	0	0	0	0	0	4	0	2	0	0	0	2	0	0	0	0	2	0	0	0	2	0
ID233	2	0	0	0	0	4	6	0	1	0	0	0	0	0	0	0	0	2	0	0	0	4	0
ID234	2	0	0	0	0	0	6	0	1	0	0	0	2	0	0	0	0	4	2	0	0	2	0
ID235	3	1	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	4	2	0	0	4	0
ID236	1	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0	0	4	2	2	0	9	0
ID237	5	0	0	6	0	2	8	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	2
ID238	5	0	0	2	0	0	2	0	1	2	0	0	0	0	0	0	0	6	0	0	0	2	0
ID239	3	0	0	2	1	4	10	0	1	1	0	0	0	0	0	0	0	2	1	0	0	0	0
ID240	5	0	2	2	4	0	6	0	0	0	0	0	1	0	0	8	0	2	0	0	0	1	0
ID241	1	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	4	2	0	0	3	2
ID242	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	2	2	0	0	2	0
ID243	1	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	8	0	0	0	2	0
ID244	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0
ID245	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	6	2	0	0	1	0
ID246	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	4	4	0	0	2	0
ID247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ID248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ID249	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ID250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ID251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	6	2
ID252	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	2
ID253	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	4	0	0	0	4	0
ID254	0	0	0	0	0	0	6	0	2	1	0	0	0	0	0	0	0	4	2	1	0	4	0
ID255	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	6	2	0	2	4	0
ID256	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	4	0	0	0	3	0
ID257	0	0	0	0	1	4	4	0	0	0	0	0	0	0	0	0	0	4	0	1	0	5	0
ID258	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	1	2	0
ID259	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0
ID260	0	0	0	0	0	2	4	0	0	1	0	0	0	0	0	0	0	6	2	0	0	3	0
ID261	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	0	0	1	4	1
ID262	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	6	2	0	0	7	0
ID263	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	4	0	0	1	7	0
ID264	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	6	0	0	1	4	0
ID265	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	5	0	0	0	7	0
ID266	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	4	0
ID267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	5	0
ID268	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	10	3
ID269	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0
ID270	5	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0
