"num";"ptec";"alti";"acac";"acmi";"boco";"bran";"cann";"cult";"four";"fria";"frib";"patu";"exot";"sava";"savh";"tama";"urba"
296;"PN20";1420;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
297;"PN21";1335;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
298;"PN22";1350;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
299;"PN23";2880;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
300;"PN24";2800;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
301;"PN25";2770;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
302;"PN26";2755;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
303;"PN27";2720;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
304;"PN28";2700;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
305;"PN29";2630;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
306;"PN30";2700;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
307;"PN31";2780;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
308;"PN32";2595;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
309;"PN33";2555;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
310;"PN34";2500;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
311;"PN35";2540;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
312;"PN36";2560;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
313;"PN37";1540;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
314;"PN38";1500;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
315;"PN39";1480;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
316;"PN40";1480;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
317;"PN41";1450;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
318;"PN42";1460;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
319;"PN43";1400;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
320;"PN44";1430;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
321;"PN45";1520;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
322;"PN46";1310;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
323;"PN48";1265;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
324;"PN49";1240;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
325;"PN50";1220;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
326;"PN51";1175;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
327;"PN52";1530;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
328;"PN53";1535;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
329;"PN54";1550;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
330;"PN55";1540;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
331;"A3 (217)";1390;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
332;"A6 (217)";1310;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
333;"B2 (217)";1400;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
334;"B3 (217)";1390;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
335;"B4 (217)";1360;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
336;"B5 (217)";1350;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
