NOS	ALTI	ACDE	ACMI	BOCO	BRAN	CANN	CRYP	CULT	FOEX	FRAR	FRBA	PATU	SAAR	SAHE	TAMA	URBA
ID240	1010	0.04	0	0	0	0.12	0.29	0	0.32	0	0.23	0	0	0	0	0
ID241	1710	0	0.2	0	0	0	0	0	0	0	0	0.8	0	0	0	0
ID242	1670	0.07	0.27	0	0	0	0	0	0	0	0	0.66	0	0	0	0
ID243	1610	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0.83	0
ID244	1570	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ID245	1510	0.1	0.05	0	0	0	0	0	0	0	0.06	0.5	0	0	0.29	0
ID246	1410	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ID247	2830	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ID248	2830	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ID249	1700	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ID250	1620	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ID251	2600	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ID252	2400	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ID253	1380	0	0	0.09	0	0	0	0	0	0	0	0.91	0	0	0	0
ID254	1350	0	0	0.21	0	0	0	0	0	0	0	0.79	0	0	0	0
ID255	1320	0	0	0.18	0	0	0	0	0	0	0	0.82	0	0	0	0
ID256	1260	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ID257	1220	0	0	0.2	0	0	0	0	0	0	0	0.8	0	0	0	0
ID258	1590	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ID259	1620	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ID260	1720	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ID261	1690	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ID262	1760	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ID263	1700	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ID264	1670	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ID265	1650	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ID266	1620	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID267	1870	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ID268	1960	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ID269	1860	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ID270	2000	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ID271	2150	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ID272	2250	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ID273	2360	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ID274	1950	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ID275	1890	0.25	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0
ID276	1820	0	0.7	0	0	0	0	0	0.09	0	0	0	0	0	0.21	0
ID277	1800	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ID278	1790	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ID279	1725	0	0	0	0	0	0	0	0	0	0	0.12	0	0	0.88	0
ID280	1950	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ID281	1680	0.05	0	0	0	0	0	0	0	0	0	0.95	0	0	0	0
ID282	1090	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ID283	1250	0	0	0	0	0	0	0	0	0.39	0.61	0	0	0	0	0
ID284	1210	0.04	0	0	0	0	0	0	0	0	0.96	0	0	0	0	0
ID285	1120	0	0	0	0	0	0	0	0.18	0	0.76	0.06	0	0	0	0
ID286	1120	0	0	0	0	0	0	0	0.04	0.12	0.84	0	0	0	0	0
ID287	1170	0	0	0	0	0	0	0	0.06	0	0.94	0	0	0	0	0
ID288	1310	0.03	0	0	0	0	0	0	0.14	0	0.83	0	0	0	0	0
ID289	1265	0.05	0	0	0	0	0	0	0	0.07	0.88	0	0	0	0	0
ID290	1250	0	0	0	0	0	0	0	0.16	0	0.8	0	0	0	0	0.04
ID291	320	0	0	0	0	0.71	0.12	0	0	0.07	0	0	0	0	0	0.11
ID292	430	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID293	490	0	0	0	0	0.87	0.04	0	0.03	0.06	0	0	0	0	0	0
ID294	815	0	0	0	0	0.89	0.06	0	0	0	0	0	0	0	0	0.05
ID295	740	0	0	0	0	0.84	0.02	0	0.06	0.08	0	0	0	0	0	0
ID296	800	0.08	0	0	0	0.65	0.1	0	0.14	0	0	0	0	0	0	0.04
ID297	970	0.04	0	0	0	0.05	0.64	0	0.25	0	0	0	0	0	0	0.03
ID298	850	0.05	0	0	0	0.15	0.54	0	0.17	0	0	0	0	0	0	0.1
ID299	880	0	0	0	0	0.22	0.45	0	0.27	0	0.02	0	0	0	0	0.04
ID300	880	0	0	0	0	0	0.63	0	0.1	0	0	0	0	0	0	0.27
ID301	820	0.02	0	0	0	0	0.47	0	0.16	0	0.08	0	0	0	0	0.27
ID302	740	0	0	0	0	0.22	0.75	0	0	0	0	0	0	0	0	0.03
ID303	770	0.05	0	0	0	0.38	0.26	0	0.12	0.07	0.1	0	0	0	0	0.03
ID304	820	0	0	0	0	0.16	0.51	0	0.17	0	0	0	0	0	0	0.17
ID305	305	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID306	340	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID307	390	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID308	450	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID309	430	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID310	530	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID311	575	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID312	800	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ID313	905	0.03	0	0	0	0.97	0	0	0	0	0	0	0	0	0	0
ID314	1060	0.29	0	0	0	0	0.28	0	0.31	0	0	0	0	0	0	0.11
ID315	1335	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID316	1310	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID317	1310	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID318	1330	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID319	1260	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID320	1200	0	0	0.8	0	0	0	0	0.09	0	0.09	0.02	0	0	0	0
ID321	1290	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ID322	1350	0	0	0.87	0	0	0	0	0	0	0	0.13	0	0	0	0
ID323	1485	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID324	1495	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID325	1490	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
